TIME,LABEL
28.908843537,m 6 hold
34.202993197,m 7 hold
35.596190476,Co-exp C A1
39.357823129,m 8
41.671111111,m 8.5 co-exp A1 A2
49.554285714,m 10 co-insp C A1
54.430476190,m 11 hold
56.482539683,m 11.5 co exp C A1
89.864126984,m 18 hold
96.690793651,m 19.25 fanfar
132.083809524,m 27 hold
133.384126984,m 27.25 co exp C A1 A2
153.417142857,m 33 downbeat
153.986031746,m 33.25 offbeat tutti accent
160.060952381,m 35.5 hold
163.230476190,m 36.5 co exp C A1
165.566984127,37.167 viola/harp/clarinet
168.086349206,38.167 viola/harp/clarinet
227.393015873,m 58.75 viola soli
229.648253968,m 59.5 co insp C A1
230.278095238,m 59.67 co exp C A1
297.076099773,m 86.25 co inso C A2 Oboe
306.651428571,m 90.25 co ins C A2 Oboe
330.605714286,m 101 downbeat hit
336.921541950,m 104 downbeat hit
343.562448980,m 107 espressive theme + accented downbeats 
347.895873016,m 109 sf downbeat
360.960000000,m 115 Marcato agitato
411.149931973,m 138.75 exp C A1 for tutti T1 pickup
419.491700680,m 142.75 exp C A1 response pickup
435.635374150,m 150.5 insp C A1 A2 pre coda anacrucix