TIME,VALUE,DURATION,LABEL
6.907936508,1,4.063492063
18.610793651,1,4.307301587
27.387936508,1,5.201269841
34.133333333,1,2.356825397
39.354920635,1,2.356825397
41.711746032,1,6.318730159
49.493333333,1,2.194285714
54.085079365,1,3.941587302
58.067301587,1,2.844444444
63.634285714,1,5.445079365
69.120000000,1,2.438095238
75.459047619,1,3.779047619
79.400634921,1,2.438095238
89.803174603,1,6.745396825
101.587301587,1,6.826666667
132.063492063,1,2.234920635
134.298412698,1,1.828571429
136.208253968,1,1.869206349
156.850793651,1,2.356825397
160.020317460,1,4.022857143
174.892698413,1,2.234920635
177.371428571,1,2.722539683
182.450793651,1,3.169523810
190.090158730,1,3.738412698
194.072380952,1,9.711746032
213.739682540,1,2.438095238
225.280000000,1,2.194285714
236.576507937,1,2.844444444
246.735238095,1,1.869206349
276.723809524,1,1.950476190
296.472380952,1,1.544126984
305.899682540,1,1.462857143
314.920634921,1,2.438095238
350.273015873,1,2.113015873
459.743492063,1,2.519365079