S_1,C1_Sae1,C1_Sae2,mm,Conductor,Flute_1,Flute_2,Oboe_1,Oboe_2,Clarinet_1,Clarinet_2,Bassoon_1,Bassoon_2,Horn_1,Horn_2,Horn_3,Horn_4,Trumpet_1,Trumpet_2,Trumpet_3,Trombone_1,Trombone_2,Trombone_Bass,Tuba,Perc_Tympani,Perc_Batt,Perc_GC,Harp,Vn_solo,Violin_1,Violin_2,Va_solo,Viola,Vc_Solo,Cello,Contrabass,RD_Sae1,RD_Sae2,RR_Saev
1.019501134,0.019501134,0.019501134,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019501134,-0.0039002265442177700,-0.0039002265442177700
2.53968254,1.53968254,1.7268934243537400,1.25,,,,,,,,,,1.0,,,,,,,,,,,,0.0,,,,,,,,,,,1.53968254,1.4928798189115600,1.4928798189115600
9.204535147,8.204535147,8.181133786455780,2.5,,,,,,,,,,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,7.572698412306120,6.917460317068030,6.543038548360540
12.078730159,11.078730159,10.47029478485030,3.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,9.885260771244900,9.300226757639450,9.230022676006800
13.670748299,12.670748299,12.03891156430610,3.25,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,11.407074829612200,10.634829931653100,10.822040816006800
21.461043084,20.461043084,19.197369614612200,4.5,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,18.2145124717551,17.559274376517000,16.857233560190500
24.025396825,23.025396825,21.036281178741500,5.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,20.622857142857100,19.1875736957483,18.961360544217700
25.58984127,24.58984127,22.390113378843500,5.25,,,,,,,,,,1.0,,,,,,,,,,,,,0.0,,,,,,,,,,22.039092970680300,20.494603174761900,20.45904761904760
28.36462585,27.36462585,24.954285713945600,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,24.673469387415000,23.17578231258500,22.56734693843540
29.851428571,28.851428571,26.441088434945600,6.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,26.16027210841500,24.568979591408200,23.398911564197300
33.711746032,32.711746032,30.301405895945600,6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,29.833378685061200,28.429297052408200,27.25922902519730
35.281269841,34.281269841,31.870929704945600,7.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,31.40290249406120,29.998820861408200,28.828752834197300
39.002267574,38.002267574,35.73233560121090,7.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,35.10049886651700,33.71981859440820,32.54975056719730
49.052154195,48.052154195,45.96943310656460,9.75,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,44.448344671190500,43.88671201812930,41.35936507935370
50.364081633,49.364081633,47.32816326565310,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,45.69006802755780,45.19863945612920,42.55428571463270
63.038548753,62.038548753,60.42385487544900,12.75,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,58.22412698429250,58.15392290265990,54.667120181571400
68.45968254,67.45968254,65.28335600938780,13.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,63.6218594107483,63.57505668965990,59.17560090734700
70.084353741,69.084353741,66.81442176821090,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,65.19972789065990,64.82530612195240,60.58965986344900
72.555102041,71.555102041,69.0511564627687,14.5,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,67.36625850358500,66.99183673487760,62.10095238113610
84.114285714,83.114285714,80.23591836706120,16.75,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,78.99564625821770,78.05959183644900,72.34965986365990
97.66893424,96.66893424,93.43954648489800,19.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,92.08226757333330,90.37396825360540,83.70458049850340
103.725714286,102.725714286,99.44952380980950,20.5,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,98.02204081661220,96.40734693906120,88.9891156465442
110.976870748,109.976870748,106.70068027181000,21.75,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,105.27319727861200,103.19047619017700,95.39020408163270
114.989569161,113.989569161,110.54956916100000,22.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,109.14548752834700,106.92235827664600,98.73188208617010
119.16553288,118.16553288,114.46811791401400,23.75,,,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,113.34485260789100,110.72390022693900,102.36961451265300
123.263129252,122.263129252,118.58911564655800,24.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,,117.5126530615240,114.28326530642200,105.8353741499590
126.511020408,125.511020408,121.79020408146900,25.5,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,120.76054421752400,117.03972789099300,108.35782312908800
127.599455782,126.599455782,122.8786394554690,25.75,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,121.84897959152400,118.01115646227200,109.28244897927900
133.079365079,132.079365079,128.26494331029300,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,127.30548752798000,122.81242630349000,113.52208616743500
136.298231293,135.298231293,131.57741496646900,27.75,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,130.5477551025240,125.46095238095200,116.10911564674100
139.972789116,138.972789116,135.532789116,28.75,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,134.29251700715600,129.0506122452520,119.66666666702000
140.939319728,139.939319728,136.499319728,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,135.25904761915600,130.01714285725200,120.58639455793200
143.612517007,142.612517007,139.172517007,29.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,137.93224489815600,132.38612244917700,123.11918367366700
144.622585034,143.622585034,140.18258503400000,30.0,,,,,,,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,138.94231292515600,133.39619047617700,124.01224489794600
147.992380952,146.992380952,143.6927891152650,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,142.21850340098000,136.461768707102,126.84380952342900
150.51755102,149.51755102,146.35836734653100,31.75,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,144.7202721084350,138.963537414966,129.22857142816300
151.370884354,150.370884354,147.28190476216300,32.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,145.55020408189100,139.58285714311600,130.08190476216300
153.730612245,152.730612245,149.78204081642900,32.75,,0.0,,,,0.0,,0.0,,0.0,0.0,,,,,,,,,,1.0,,,,,,,,,,,,147.8163265307140,141.91918367357100,132.30122448989800
155.071564626,154.071564626,151.19319727906100,33.25,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,149.11047619062600,143.26013605457100,133.64217687089800
156.482176871,155.482176871,152.69741496623800,33.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.49768707508200,144.67074829957100,135.07619047644200
157.422585034,156.422585034,153.70802721087100,34.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.43809523808200,145.61115646257100,136.0165986394420
157.831836735,156.831836735,154.11727891187100,34.25,,,,,,1.0,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,151.8473469390820,146.0204081635710,136.42585034044200
158.206258503,157.206258503,154.49170067987100,34.375,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,152.22176870708200,146.39482993157100,136.8470748295310
160.06675737,159.06675737,156.35219954687100,35.0,,,,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.0,0.0,,154.08226757408200,148.27873015911600,138.7075736965310
160.357006803,159.357006803,156.64244897987100,35.125,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,154.37251700708200,148.56897959211600,138.9978231295310
160.687891156,159.687891156,156.97333333287100,35.25,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,154.70340136008200,148.89986394511600,139.3287074825310
162.899002268,161.899002268,159.18444444487100,36.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,156.79537414966000,151.0641723360270,141.5398185945310
164.928435374,163.928435374,161.21387755087100,36.75,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,158.80353741481600,153.0936054420270,143.61605442161900
166.31292517,165.31292517,162.57496598632700,37.167,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,160.09442176863900,154.45469387748300,144.97714285707500
166.696054422,165.696054422,162.9346938777820,37.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,160.46938775510200,154.7208163267620,145.21170068027200
169.935238095,168.935238095,166.08027210860500,38.67,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,163.69333333309500,157.58557823105400,148.03782312901400
172.8,171.8,169.1322448979590,39.67,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,166.55809523809500,160.1461224489800,150.6174149659860
183.814965986,182.814965986,180.0770068023270,43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,177.3624489791970,170.31863945538800,160.18585033974100
186.769705215,185.769705215,182.39990929663300,44.33,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,180.31718820819700,172.40408163265300,162.3683446707820
204.788390023,203.788390023,197.11900226789800,50.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,197.77424036313600,186.91600907061900,177.27156462585000
217.16462585,216.16462585,209.2612244894560,54.75,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,209.47183673435400,198.87102040782300,188.12979591802700
218.331428571,217.331428571,210.42802721045600,55.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,210.56843537372100,199.73360544174800,189.1561904757620
221.065578231,220.065578231,213.02176870719000,56.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,212.99836734664600,202.37414965957100,191.82013605412900
228.345034014,227.345034014,220.0906122452930,58.75,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,1.0,1.0,,,,220.13741496638100,209.53659863985000,198.5145578235240
229.268027211,228.268027211,221.1072108844690,59.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,0.0,221.06040816338100,210.45959183685000,199.3907482994350
237.958095238,236.958095238,229.63346938766000,62.13,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,229.77387755092500,218.77523809514300,207.30857142847600
239.525442177,238.525442177,231.20081632666000,62.75,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,0.0,0.0,,,,231.3412244899250,220.248979591966,208.852517006932
240.448435374,239.448435374,232.12380952366000,63.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,232.26421768692500,221.0549659862450,209.70530612229900
242.956190476,241.956190476,234.5847619045710,64.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,234.74857142838100,223.4457142855240,211.95564625831300
249.748027211,248.748027211,241.11918367358500,66.75,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,1.0,1.0,,,,241.68081632664600,229.44190476202000,218.0922448980750
251.646258503,250.646258503,243.01741496558500,67.5,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,243.6258503397350,231.34013605402000,219.90884353741500
267.633197279,266.633197279,258.7235374150540,74.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,259.7765986395440,246.4144217687960,234.745306122449
269.618503401,268.618503401,260.7322448975990,74.75,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,261.85551020372100,248.2827210880750,236.65224489759900
270.315102041,269.315102041,261.4288435375990,75.0,,,,,,1.0,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,262.55210884372100,248.9793197280750,237.30204081651000
277.664217687,276.664217687,268.8013605441430,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,269.994829931898,255.95401360536700,244.3469387754350
278.273741497,277.273741497,269.41088435414300,78.25,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,270.60435374189800,256.56353741536700,244.86285714325900
279.56244898,278.56244898,270.69959183714300,78.75,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,0.0,0.0,,,,271.89306122489800,257.78204081673500,246.10476190517000
280.241632653,279.241632653,271.3787755101430,79.0,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,272.57224489789800,258.4612244897350,246.7839455781700
289.227755102,288.227755102,280.06068027206800,82.75,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,281.4647619047210,266.81551020404100,255.1616326530200
289.854693878,288.854693878,280.6642176875240,83.0,,,,,,1.0,,1.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,282.0917006807210,267.4424489800410,255.7885714290200
290.499047619,289.499047619,281.28517006798000,83.25,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,282.73605442172100,267.99319727886400,256.2691156462110
298.718911565,297.718911565,289.3646258507140,86.75,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.65170068064600,275.6982312928910,263.8337414969730
299.485170068,298.485170068,290.10748299317000,87.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,291.3477551020140,276.4410884353470,264.4595918367080
308.83047619,307.83047619,299.42938775462600,91.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,300.48244897911600,285.3183673464630,273.1730612240140
311.197460317,310.197460317,301.7261677999930,92.0,,,,,,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,302.779229024483,287.52154194965300,275.3762358272040
313.605079365,312.605079365,304.01678004527200,93.0,,,,,,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,305.13659863945600,289.83555555547600,277.62004535139500
315.911111111,314.911111111,306.2994104307280,94.0,,,,,,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,307.42267573685000,292.11818594093200,279.8324716552180
317.777777778,316.777777778,308.09587301609500,94.75,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,309.2191383222180,293.7976417235780,281.4417233562310
318.331428571,317.331428571,308.64952380909500,95.0,,1.0,1.0,,,,,0.0,0.0,0.0,,,,,,,,,,,1.0,,,0.0,,,,,,1.0,1.0,,309.7727891152180,294.35129251657800,281.9953741492310
322.664126984,321.664126984,313.0056235826400,97.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.0820861676740,298.61378684794600,286.1408616778780
324.35047619,323.35047619,314.6919727886400,97.25,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,315.6982312920410,300.25333333285700,287.8038095233330
324.909206349,323.909206349,315.2273015870950,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,316.2335600904970,300.81206349185700,288.26893424015600
326.019047619,325.019047619,316.3371428570950,98.5,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,317.3434013604970,301.92190476185700,289.3085714285240
326.577777778,325.577777778,316.8958730160950,98.75,,0.0,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,317.9021315194970,302.43383219976900,289.8673015875240
327.164444444,326.164444444,317.4825396820950,99.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,318.48879818549700,303.02049886576900,290.45396825352400
335.307755102,334.307755102,325.34503401356500,102.75,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,326.6087074829520,310.6723809523400,298.08244897955100
344.548571429,343.548571429,334.3284353745780,107.0,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,335.82612244940800,319.25795918410200,306.8084353745780
344.807619048,343.807619048,334.5874829935780,107.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,336.08517006840800,319.4702040820140,307.044081633034
355.738412698,354.738412698,345.1906575959590,112.13,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,346.9925623578640,329.8159637184080,317.2728344667080
358.133333333,357.133333333,347.4451700676940,113.25,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,349.3172789112310,332.0470748295990,319.5039455778980
360.286984127,359.286984127,349.52861678006100,114.25,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,351.4475283446870,334.0135147392450,321.5639909297210
360.825396825,359.825396825,350.0670294780610,114.5,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,351.98594104268700,334.458321995068,321.98539682500000
